,price,host_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,amenities_length
6193,1397,17636218,Central & Western,22.2807762783852,114.1510281622172,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,70.0,9.0,0.31,13
6194,1499,11738472,Islands,22.22432199760655,114.11210530616856,Apartment,Entire home/apt,8,2.0,3.0,3.0,Real Bed,3,100.0,9.0,0.47,13
6195,848,33175312,Wan Chai,22.27981959880707,114.177587748056,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,7,100.0,10.0,0.9,19
6196,400,8826176,Central & Western,22.284404632229172,114.13063081391468,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,6,100.0,10.0,0.87,25
6197,887,119458398,Yuen Long,22.424750525571795,114.07697363309616,Apartment,Private room,1,1.0,0.0,1.0,Real Bed,0,0.0,0.0,0.0,60
6198,801,16798334,Islands,22.29943846540969,114.0117049034155,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,0,0.0,0.0,0.0,50
6199,612,4196232,Islands,22.225759650177594,114.1143392205688,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,9,93.0,10.0,1.14,9
6200,322,104722903,Yuen Long,22.426007521207705,114.07989524849232,House,Private room,1,1.0,1.0,1.0,Real Bed,7,94.0,8.0,0.9,25
6201,753,38426595,Central & Western,22.282205050036964,114.15270000420635,Apartment,Entire home/apt,2,1.0,1.0,1.0,Other,10,96.0,10.0,1.24,17
6202,1491,3501118,Central & Western,22.288163001255,114.14596312955679,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,10,93.0,10.0,1.23,17
6203,353,110212758,Wan Chai,22.28098723151226,114.1831917093803,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,11,87.0,10.0,1.39,12
6204,322,110212758,Wan Chai,22.278378030515853,114.17715694766129,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,11,87.0,9.0,1.53,14
6205,2998,156714903,Central & Western,22.280087720980593,114.15666799818415,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,0,0.0,0.0,0.0,17
6206,903,3554087,Wan Chai,22.276573655937916,114.17174601736104,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,8,97.0,10.0,1.22,20
6207,196,67628158,Kwai Tsing,22.350687644730343,114.10716405395277,Apartment,Shared room,1,1.0,1.0,2.0,Real Bed,6,100.0,9.0,0.75,21
6208,432,106102532,Yau Tsim Mong,22.29845036022867,114.17289568035788,Other,Private room,2,1.0,0.0,1.0,Real Bed,47,98.0,10.0,5.62,18
6209,644,34060519,Central & Western,22.279893519427148,114.1512366320083,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,100.0,10.0,0.24,8
6210,1899,138649185,Central & Western,22.28318351746013,114.1570729939332,Other,Private room,2,1.0,0.0,1.0,Real Bed,0,0.0,0.0,0.0,20
6211,377,6182563,Central & Western,22.282771380958835,114.15378317933084,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,4,93.0,10.0,0.48,12
6212,887,101588128,Yau Tsim Mong,22.315510234871365,114.17176537844536,Other,Entire home/apt,6,1.0,2.0,3.0,Real Bed,29,95.0,10.0,3.6,18
6213,746,156865145,Yau Tsim Mong,22.3038445198537,114.16813720991254,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,69,97.0,10.0,8.52,28
6214,651,36495059,Sai Kung,22.30315109393301,114.29175968132095,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,0,0.0,0.0,0.0,9
6215,698,100373779,Wan Chai,22.27846955130249,114.17954318460684,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,4,100.0,10.0,0.51,13
6216,777,26443558,Wan Chai,22.277167241244992,114.16946770211105,Apartment,Entire home/apt,2,1.0,2.0,1.0,Real Bed,2,100.0,10.0,0.32,14
6217,997,24678098,Central & Western,22.286057788711208,114.1496342812306,Apartment,Private room,2,1.0,0.0,1.0,Real Bed,1,0.0,0.0,0.13,13
6218,2080,29831285,Sham Shui Po,22.328514460648393,114.16030686529473,Apartment,Entire home/apt,14,5.0,5.0,9.0,Real Bed,4,90.0,10.0,0.59,18
6219,903,154830670,Wan Chai,22.273505875795184,114.18516705695984,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,0,0.0,0.0,0.0,16
6220,353,68212518,Kowloon City,22.31834204239058,114.19240868515939,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,0,0.0,0.0,0.0,18
6221,2598,14209478,Central & Western,22.28083447048433,114.13023259439957,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,3,93.0,10.0,0.4,23
6222,400,121801614,North,22.517924965454775,114.1243409288793,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,13,92.0,8.0,1.57,24
6223,1201,56570136,Kowloon City,22.308051949275303,114.18530697930152,House,Entire home/apt,5,2.0,3.0,3.0,Real Bed,3,100.0,9.0,0.96,15
6224,290,122131447,Yau Tsim Mong,22.319289773124034,114.16946041713958,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,7,83.0,10.0,0.95,17
6225,801,24103007,Central & Western,22.288144417366013,114.14937401427193,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,3,100.0,10.0,0.95,13
6226,620,122131447,Yau Tsim Mong,22.296248251464004,114.17231135447528,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,0,0.0,0.0,0.0,11
6227,322,39129551,Central & Western,22.285670904772328,114.14217884250944,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,100.0,8.0,0.16,17
6228,1303,56570136,Kowloon City,22.306791127026166,114.18412747610935,House,Entire home/apt,5,2.0,3.0,3.0,Real Bed,7,91.0,9.0,1.13,15
6229,691,133455555,Eastern,22.291338094489824,114.2072172932968,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,9,100.0,10.0,1.66,23
6230,353,144439973,Sha Tin,22.372218786943254,114.1754753741942,Apartment,Shared room,2,1.0,1.0,2.0,Real Bed,0,0.0,0.0,0.0,7
6231,322,153585999,Tsuen Wan,22.349688068549057,114.05668036781118,Hostel,Private room,1,1.0,1.0,1.0,Real Bed,0,0.0,0.0,0.0,14
